,comments
228,"anaknya mah ga pentos apa2, ntar yg jalanin pemerintahan ya bapake juga bisikin.."
229,Gak apa* pengkhianat Konstitusi demi kursi kekuasaan😢😢
230,"Hadeh makin bingung pilih dia, dia atau dia mending bikin kue aja deh, oh iya yang lagi nyari cake case atau alat baking lainya bisa cek instagram aku ya 😂😂"
231,"Wataknya ngeri, haus kekuasaan, menghalalkan segala cara, ngeri emang kalo hati nurani digelapkan uang dan kekuasaan.... SDM rendah yang milih dia tuh cara berpikirnya gimana ya? Kayaknya otaknya segede kelereng kali ya? Tempatnya di dengkul lagi 😂😂😂😂💩💩💩🤡🤡🤡"
232,Segala cara ditempuh demi kekuasaan
233,Mas gibran ntr kalo pilpres slesai.. Lanjutkan usaha cateringnya.
234,Status nya cuti ga yaa dari walikota 😂😂
235,Biasanya kentut yg bau itu yg tidak bunyi
236,"Mau siapapun presidennya, pilihan hatiku tetap Anies Baswedan"
237,"Prabowo : keputusan MK
ganjar : pedeipe dan megawati 
 AMININ ajh siapapun presiden nya
 Untuk membawa indonesia lebih baik dan sejahtera 🤗🤗AMIN"
238,Gila kekuasaaan !!
239,Bambang pacul ketawa liat Mahmud... wkwkwk... akhirnya mahmud bakal nurut sma bu Mega.
240,"Lah sama dong sm bapaknya, kalau berkhianat gk mslh n kita harus2 hati dng manusia seperti ini."
241,Pilih Pak Ganjar Pranowo dan Pak Mahfud MD
242,Awokwokwokwok 🤡🤡🤡🤡🤡🤡🤡🤡
243,Ya orang kalo gila duniawi dan jabatan mana perduli dgn akal sehatnya... Jd kita tggu aja karmanya @gibran_rakabuming
244,"Cukup bapakmu yang jadi boneka ,kau harus pergi dari keluarga banteng iru"
245,"Gpp khianatin aja ,kan bapak mu di PDIP ga di angep presiden cuma di angep petugas partai ama ema ema PDIP , bapak mu yg jadi presiden yg ngendaliin mah di belakang layar dia smua, kasihan bapak mu sbner nya orang baik tpi karna ikut ini partai jadi ngikut buruk , gua si paling OGAH milih dari koalisi dari PDIP"
246,Mumpung masih anak presiden
247,Gibran Cara menjawab ??? 😂😂😂 Dapat Salam Dari Tegak Lurus...😂😂😂
248,Amin
249,Sekarang jalur paman lewat EMKA... Dulu jalur kardus gembok lewat ESEMKA... 👏👏👏
250,"sepertinya habis gini pak jokowi juga keluar dari PDIP, gabung ke PSI, jadi punya partai sendiri"
251,Salam perubahan 🔥 #AMIN
252,"Sepertinya dia emang niat bgt jadi wapres, bahkan pdip dan bu mega pun dihempaskan. Peraturan konstitusi pun diacak2 sama keluarganya. Ada apa mas gibran? Kenapa anda bisa selicik ini?"
253,"Lebih keren pemikiran Alam Ganjar di bandingkan loe,di bilang pengkhianat kok gpp'' aja,,"
254,Mas Gibran Cawapres ketika diskusi dengan Mas Nadiem Makarim (Mendikbud) kebantingkah Mas? Hanya berperspektif 🙏
255,Hati2 ada karmanya.. jangan bilang gpp...
256,Masih patutkah dipilih ?
