slang,formal
hadirrr,hadir
ngomong,mengomong
hidupppp,hidup
nyebelin,menyebalkan
tp,tapi
diliatnya,dilihatnya
ga,tidak
abis2,habis-habis
gpp,tidak apa-apa
para2,parah-parah
bangeeet,banget
allahhhhhhh,allah
gemesnya,gemasnya
ilang2,hilang-hilang
mslh,masalah
kmi,kami
ngilangin,menghilangkan
tbuh,tubuh
itungan,hitungan
keliatan,kelihatan
ledekin,ledeki
tmn2,teman-teman
diputusin,diputuskan
gara2,gara-gara
km,kamu
gara2,gara-gara
repot2,repot-repot
oles2,oles-oles
ckup,cukup
dptkan,dapatkan
artis2,artis-artis
bener2,benar-benar
nyesel,menyesal
ayooo,ayo
saranin,menyarankan
kalii,kali
ajaa,saja
ninggiin,meninggikan
ledekin,ledeki
tmn2,teman-teman
baget,banget
dri,dari
bngt,banget
kl,kalo
lht,lihat
mnta,minta
kira2,kira-kira
lgsg,langsung
mngkin,mungkin
ngk,tidak
ahh,ah
pas2an,pas-pasan
balesin,membalas
gausah,tidak usah
kyk,kayak
sukaaa,suka
lutuna,lucunya
ciapa,siapa
gemesss,gemas
duhh,duh
terharuuu,terharu
ihh,ih
sumpahh,sumpah
alamii,alami
sampek,sampai
ckrng,sekarang
ngegemesin,menggemaskan
imoet,imut
bgt,banget
imut2,imut-imut
gtu,begitu
jagain,jaga
yahbh,ya
msih,masih
macem2,macam-macam
neko2,neko-neko
ngeliat,melihat
sktika,seketika
dr,dari
td,tadi
lutu,lucu
yg,yang
yaa,ya
yha,ya
wowwww,wow
massss,mas
kesiniii,kesini
bnget,banget
"keren""",keren-keren
"jalan""nya",jalan-jalannya
masyaallahhh,masyaallah
kerennn,keren
ksni,kesini
begok,bego
bkan,bukan
jgk,juga
gda,tidak ada
tmpt,tempat
mksd,maksud
aqu,aku
bawak,bawa
jdi,jadi
it,itu
bkan,bukan
nti,nanti
pgi,pagi
yahh,ya
keeeeeren,keren
bnget,banget
baguusss,bagus
mna,mana
liat,lihat
lg,lagi
bnget,banget
nahannnn,tahan
lucuu,lucu
bagaatt,banget
